date,year,month,month_name,district,rainfall_mm,temperature_celsius,pH,turbidity_NTU,coliform_count_per100ml,dissolved_oxygen_mg_L,total_dissolved_solids_mg_L,population,cholera_cases,diarrhea_cases,typhoid_cases,hepatitis_a_cases,total_disease_cases,outbreak_alert,season,cases_last_month,cases_2_months_ago,rainfall_last_month,district_encoded,season_encoded
2022-05-01,2022,5,May,Chennai,35.18,31.48,7.02,14.39,36.05,5.65,521.58,2620473,22,72,13,7,114,0,Summer,128.0,87.0,15.0,0,2
2022-06-01,2022,6,June,Chennai,75.7,29.28,6.21,21.0,35.5,6.99,1186.26,1417559,23,81,13,8,125,0,SW_Monsoon,114.0,128.0,35.18,0,1
2022-07-01,2022,7,July,Chennai,106.25,34.46,6.28,6.96,299.61,8.48,711.68,4208654,20,71,16,7,114,0,SW_Monsoon,125.0,114.0,75.7,0,1
2022-08-01,2022,8,August,Chennai,99.72,25.47,7.9,5.36,236.87,8.2,289.2,1270173,16,46,11,4,77,0,SW_Monsoon,114.0,125.0,106.25,0,1
2022-09-01,2022,9,September,Chennai,127.91,35.05,7.35,3.18,225.58,6.93,945.44,581264,29,79,13,9,130,1,SW_Monsoon,77.0,114.0,99.72,0,1
2022-10-01,2022,10,October,Chennai,324.91,32.51,6.76,16.75,185.0,8.67,207.53,3607092,27,80,14,10,131,1,NE_Monsoon,130.0,77.0,127.91,0,0
2022-11-01,2022,11,November,Chennai,146.64,27.99,6.6,28.86,44.93,6.62,610.4,3552766,23,81,11,9,124,0,NE_Monsoon,131.0,130.0,324.91,0,0
2022-12-01,2022,12,December,Chennai,343.77,30.87,7.86,26.55,402.34,6.68,676.62,3471820,45,141,21,11,218,1,NE_Monsoon,124.0,131.0,146.64,0,0
2023-01-01,2023,1,January,Chennai,28.4,31.11,6.76,2.55,170.97,5.44,781.24,782762,26,64,7,8,105,0,Winter,218.0,124.0,343.77,0,3
2023-02-01,2023,2,February,Chennai,23.51,25.88,6.35,15.85,90.26,8.05,454.64,3754600,25,74,13,8,120,0,Winter,105.0,218.0,28.4,0,3
2023-03-01,2023,3,March,Chennai,27.65,28.88,8.34,13.43,270.21,4.62,930.87,4109736,20,48,9,9,86,0,Summer,120.0,105.0,23.51,0,2
2023-04-01,2023,4,April,Chennai,7.65,34.94,8.1,12.21,223.87,8.13,386.4,4563309,23,78,18,4,123,0,Summer,86.0,120.0,27.65,0,2
2023-05-01,2023,5,May,Chennai,42.56,30.33,7.84,14.47,174.75,6.7,638.74,4181262,21,55,15,6,97,0,Summer,123.0,86.0,7.65,0,2
2023-06-01,2023,6,June,Chennai,114.28,30.04,6.97,17.86,291.36,4.83,1078.63,1607955,37,96,16,5,154,1,SW_Monsoon,97.0,123.0,42.56,0,1
2023-07-01,2023,7,July,Chennai,91.17,27.48,7.91,1.96,239.35,7.81,1076.77,1723520,18,52,15,6,91,0,SW_Monsoon,154.0,97.0,114.28,0,1
2023-08-01,2023,8,August,Chennai,99.73,35.16,6.54,6.43,303.35,7.6,841.15,3030034,33,92,15,8,148,1,SW_Monsoon,91.0,154.0,91.17,0,1
2023-09-01,2023,9,September,Chennai,78.16,36.72,7.54,10.34,194.04,8.74,353.35,1755564,19,67,9,7,102,0,SW_Monsoon,148.0,91.0,99.73,0,1
2023-10-01,2023,10,October,Chennai,248.24,25.43,8.31,25.62,12.89,7.26,971.25,2914472,24,65,13,5,107,0,NE_Monsoon,102.0,148.0,78.16,0,0
2023-11-01,2023,11,November,Chennai,212.71,25.59,8.47,27.1,69.81,8.6,1069.9,4078226,24,71,17,8,120,0,NE_Monsoon,107.0,102.0,248.24,0,0
2023-12-01,2023,12,December,Chennai,183.8,35.24,6.21,11.74,222.97,6.69,1119.86,3261089,33,83,10,7,133,1,NE_Monsoon,120.0,107.0,212.71,0,0
2024-01-01,2024,1,January,Chennai,6.81,36.78,6.77,9.58,46.34,4.17,511.47,2691422,21,75,7,6,109,0,Winter,133.0,120.0,183.8,0,3
2024-02-01,2024,2,February,Chennai,33.33,37.66,7.26,9.27,240.98,6.68,384.46,3797606,28,86,17,6,137,1,Winter,109.0,133.0,6.81,0,3
2024-03-01,2024,3,March,Chennai,24.22,30.56,7.64,6.54,234.24,6.94,494.04,1203662,23,81,8,5,117,0,Summer,137.0,109.0,33.33,0,2
2024-04-01,2024,4,April,Chennai,32.34,34.71,6.44,5.88,21.14,7.77,472.3,4563186,22,51,11,5,89,0,Summer,117.0,137.0,24.22,0,2
2024-05-01,2024,5,May,Chennai,51.19,36.14,7.14,9.19,71.09,4.98,705.51,3046741,18,42,9,3,72,0,Summer,89.0,117.0,32.34,0,2
2024-06-01,2024,6,June,Chennai,115.67,34.09,8.05,23.74,253.34,8.03,1162.65,999876,28,83,13,7,131,1,SW_Monsoon,72.0,89.0,51.19,0,1
2024-07-01,2024,7,July,Chennai,68.55,26.91,6.26,5.34,244.88,6.11,1092.67,4955214,29,80,9,6,124,0,SW_Monsoon,131.0,72.0,115.67,0,1
2024-08-01,2024,8,August,Chennai,119.03,27.75,7.64,10.53,231.86,6.18,494.47,2483851,26,91,16,6,139,1,SW_Monsoon,124.0,131.0,68.55,0,1
2024-09-01,2024,9,September,Chennai,149.46,35.2,7.18,1.71,112.84,6.71,833.48,822918,19,53,10,4,86,0,SW_Monsoon,139.0,124.0,119.03,0,1
2024-10-01,2024,10,October,Chennai,231.42,26.4,6.83,2.16,512.01,4.59,776.52,3153093,29,95,19,8,151,1,NE_Monsoon,86.0,139.0,149.46,0,0
2024-11-01,2024,11,November,Chennai,280.05,25.49,6.52,9.62,149.24,7.66,450.73,1726476,26,71,9,5,111,0,NE_Monsoon,151.0,86.0,231.42,0,0
2024-12-01,2024,12,December,Chennai,201.1,34.79,7.17,12.36,536.83,4.92,290.34,3178932,51,135,16,10,212,1,NE_Monsoon,111.0,151.0,280.05,0,0
2018-01-01,2018,1,January,Coimbatore,22.39,24.78,7.6,4.46,108.31,4.4,347.16,4813696,14,53,6,2,75,0,Winter,0.0,0.0,0.0,1,3
2018-02-01,2018,2,February,Coimbatore,18.51,35.37,6.99,2.49,159.71,6.91,914.7,2269361,24,66,7,4,101,0,Winter,75.0,0.0,22.39,1,3
2018-03-01,2018,3,March,Coimbatore,45.09,28.22,7.58,3.86,249.27,4.57,203.84,736538,26,76,16,7,125,0,Summer,101.0,75.0,18.51,1,2
2018-04-01,2018,4,April,Coimbatore,19.14,30.51,6.72,12.11,257.38,6.12,542.13,3133819,25,62,10,4,101,0,Summer,125.0,101.0,45.09,1,2
2018-05-01,2018,5,May,Coimbatore,55.03,31.97,7.95,13.14,95.72,6.17,1048.47,4650579,22,57,10,7,96,0,Summer,101.0,125.0,19.14,1,2
2018-06-01,2018,6,June,Coimbatore,134.48,30.24,6.25,2.63,162.74,6.92,664.2,773541,23,62,16,4,105,0,SW_Monsoon,96.0,101.0,55.03,1,1
2018-07-01,2018,7,July,Coimbatore,119.64,30.79,6.26,9.87,44.57,6.66,595.78,4428683,24,82,6,6,118,0,SW_Monsoon,105.0,96.0,134.48,1,1
2018-08-01,2018,8,August,Coimbatore,121.83,33.53,7.73,12.85,180.08,4.27,222.09,2816374,24,73,10,7,114,0,SW_Monsoon,118.0,105.0,119.64,1,1
2018-09-01,2018,9,September,Coimbatore,145.7,37.14,7.33,17.18,359.33,6.09,509.41,616220,33,103,14,10,160,1,SW_Monsoon,114.0,118.0,121.83,1,1
2018-10-01,2018,10,October,Coimbatore,310.53,32.6,6.95,7.43,311.08,6.92,406.99,1547146,29,97,16,8,150,1,NE_Monsoon,160.0,114.0,145.7,1,0
2018-11-01,2018,11,November,Coimbatore,168.53,35.59,7.9,25.59,66.7,4.7,486.47,2643385,21,72,14,5,112,0,NE_Monsoon,150.0,160.0,310.53,1,0
2018-12-01,2018,12,December,Coimbatore,266.73,30.1,8.39,23.47,520.89,6.64,458.9,896456,43,126,19,14,202,1,NE_Monsoon,112.0,150.0,168.53,1,0
2019-01-01,2019,1,January,Coimbatore,49.64,30.75,6.33,3.45,198.08,7.56,1098.36,3312753,18,51,7,4,80,0,Winter,202.0,112.0,266.73,1,3
2019-02-01,2019,2,February,Coimbatore,37.54,26.69,7.73,10.28,168.69,6.45,728.66,2467754,17,46,11,6,80,0,Winter,80.0,202.0,49.64,1,3
2019-03-01,2019,3,March,Coimbatore,19.16,34.84,7.09,8.5,239.68,7.75,1005.12,1042955,25,79,16,4,124,0,Summer,80.0,80.0,37.54,1,2
2019-04-01,2019,4,April,Coimbatore,23.03,34.32,6.28,8.02,94.17,8.6,212.0,845744,19,66,8,4,97,0,Summer,124.0,80.0,19.16,1,2
2019-05-01,2019,5,May,Coimbatore,42.0,28.72,6.61,5.08,128.12,6.38,983.0,1158139,23,69,15,4,111,0,Summer,97.0,124.0,23.03,1,2
2019-06-01,2019,6,June,Coimbatore,85.54,35.59,7.07,23.57,195.83,7.96,602.31,1271965,29,78,11,9,127,1,SW_Monsoon,111.0,97.0,42.0,1,1
2019-07-01,2019,7,July,Coimbatore,85.09,25.41,7.1,15.26,361.54,5.73,853.79,3031069,35,108,20,9,172,1,SW_Monsoon,127.0,111.0,85.54,1,1
2019-08-01,2019,8,August,Coimbatore,159.33,36.16,7.5,12.98,119.53,6.59,1048.18,2954244,27,87,14,4,132,1,SW_Monsoon,172.0,127.0,85.09,1,1
2019-09-01,2019,9,September,Coimbatore,69.56,29.87,6.46,5.12,229.88,4.82,263.88,4720242,26,69,17,5,117,0,SW_Monsoon,132.0,172.0,159.33,1,1
2019-10-01,2019,10,October,Coimbatore,287.94,36.69,7.91,17.8,481.97,7.47,210.55,4477497,54,156,23,14,247,1,NE_Monsoon,117.0,132.0,69.56,1,0
2019-11-01,2019,11,November,Coimbatore,291.59,29.69,8.22,21.32,503.58,7.12,331.29,3176073,43,117,19,11,190,1,NE_Monsoon,247.0,117.0,287.94,1,0
2019-12-01,2019,12,December,Coimbatore,289.11,30.64,6.72,20.35,22.59,5.63,668.56,1700346,26,88,11,8,133,1,NE_Monsoon,190.0,247.0,291.59,1,0
2020-01-01,2020,1,January,Coimbatore,22.48,24.12,7.08,5.39,10.47,6.53,603.03,897595,12,24,5,5,46,0,Winter,133.0,190.0,289.11,1,3
2020-02-01,2020,2,February,Coimbatore,29.49,30.83,8.07,2.31,120.02,7.14,415.16,2710920,15,41,14,7,77,0,Winter,46.0,133.0,22.48,1,3
2020-03-01,2020,3,March,Coimbatore,22.07,29.59,6.76,3.89,267.28,8.59,246.99,4461635,32,80,11,8,131,1,Summer,77.0,46.0,29.49,1,2
2020-04-01,2020,4,April,Coimbatore,28.9,36.17,6.62,15.2,61.26,5.63,956.19,4563068,17,51,16,6,90,0,Summer,131.0,77.0,22.07,1,2
2020-05-01,2020,5,May,Coimbatore,17.67,28.05,7.05,10.89,33.11,8.77,1065.57,4984781,17,62,5,7,91,0,Summer,90.0,131.0,28.9,1,2
2020-06-01,2020,6,June,Coimbatore,126.47,29.87,7.81,10.56,211.95,4.04,891.72,2730653,23,69,11,6,109,0,SW_Monsoon,91.0,90.0,17.67,1,1
2020-07-01,2020,7,July,Coimbatore,110.19,36.74,7.85,14.47,335.08,8.32,656.89,2643167,28,70,17,6,121,0,SW_Monsoon,109.0,91.0,126.47,1,1
2020-08-01,2020,8,August,Coimbatore,68.32,36.08,7.31,2.77,230.88,6.09,1077.75,4234942,22,71,12,7,112,0,SW_Monsoon,121.0,109.0,110.19,1,1
2020-09-01,2020,9,September,Coimbatore,91.14,29.62,7.36,20.34,273.35,7.08,375.67,4727939,28,80,17,5,130,1,SW_Monsoon,112.0,121.0,68.32,1,1
2020-10-01,2020,10,October,Coimbatore,141.55,28.66,8.36,12.03,553.35,6.43,379.16,2712292,42,112,17,12,183,1,NE_Monsoon,130.0,112.0,91.14,1,0
2020-11-01,2020,11,November,Coimbatore,124.17,34.09,6.85,7.2,22.04,4.11,974.49,4467454,19,48,8,5,80,0,NE_Monsoon,183.0,130.0,141.55,1,0
2020-12-01,2020,12,December,Coimbatore,240.48,25.57,7.6,18.88,443.52,8.93,450.87,3531301,44,138,19,10,211,1,NE_Monsoon,80.0,183.0,124.17,1,0
2021-01-01,2021,1,January,Coimbatore,55.98,37.47,7.37,7.68,78.03,8.79,342.81,973006,16,34,7,7,64,0,Winter,211.0,80.0,240.48,1,3
2021-02-01,2021,2,February,Coimbatore,8.02,32.1,6.39,3.15,123.08,6.55,458.79,718547,12,43,13,7,75,0,Winter,64.0,211.0,55.98,1,3
2021-03-01,2021,3,March,Coimbatore,23.42,31.99,8.29,0.89,226.99,8.74,291.33,4026185,22,59,8,5,94,0,Summer,75.0,64.0,8.02,1,2
2021-04-01,2021,4,April,Coimbatore,19.17,30.3,7.79,11.94,278.72,5.44,738.22,1017200,31,88,12,9,140,1,Summer,94.0,75.0,23.42,1,2
2021-05-01,2021,5,May,Coimbatore,12.11,24.81,8.14,1.7,76.07,4.52,495.42,3573961,21,65,4,6,96,0,Summer,140.0,94.0,19.17,1,2
2021-06-01,2021,6,June,Coimbatore,137.22,26.39,7.08,9.11,181.36,7.91,684.17,4991260,28,86,11,4,129,1,SW_Monsoon,96.0,140.0,12.11,1,1
2021-07-01,2021,7,July,Coimbatore,78.75,34.51,6.74,4.47,77.87,4.91,712.86,4999311,25,87,7,4,123,0,SW_Monsoon,129.0,96.0,137.22,1,1
2021-08-01,2021,8,August,Coimbatore,73.95,31.97,8.2,14.49,301.57,5.86,292.45,4232517,30,100,19,10,159,1,SW_Monsoon,123.0,129.0,78.75,1,1
2021-09-01,2021,9,September,Coimbatore,72.44,32.39,7.47,12.92,289.85,8.19,522.99,1961659,32,92,15,8,147,1,SW_Monsoon,159.0,123.0,73.95,1,1
2021-10-01,2021,10,October,Coimbatore,157.58,25.49,8.09,5.82,418.49,4.24,1148.52,1456011,28,95,18,7,148,1,NE_Monsoon,147.0,159.0,72.44,1,0
2021-11-01,2021,11,November,Coimbatore,294.84,31.31,7.67,25.5,226.86,4.01,1049.95,633114,29,72,17,7,125,0,NE_Monsoon,148.0,147.0,157.58,1,0
2021-12-01,2021,12,December,Coimbatore,249.04,34.35,6.69,27.19,17.0,8.22,660.33,3897570,28,77,11,6,122,0,NE_Monsoon,125.0,148.0,294.84,1,0
2022-01-01,2022,1,January,Coimbatore,8.79,30.77,6.71,4.66,245.75,4.45,915.36,3301285,28,76,10,8,122,0,Winter,122.0,125.0,249.04,1,3
2022-02-01,2022,2,February,Coimbatore,26.5,37.67,8.4,12.96,67.66,4.34,516.9,1420631,22,63,10,8,103,0,Winter,122.0,122.0,8.79,1,3
2022-03-01,2022,3,March,Coimbatore,51.47,29.04,7.78,5.56,17.05,7.51,209.83,4706771,19,53,13,6,91,0,Summer,103.0,122.0,26.5,1,2
2022-04-01,2022,4,April,Coimbatore,21.73,35.36,6.88,7.58,203.57,7.46,1187.37,2869320,27,77,15,5,124,0,Summer,91.0,103.0,51.47,1,2
2022-05-01,2022,5,May,Coimbatore,13.6,34.53,7.51,4.97,132.84,5.67,779.31,1911910,22,60,10,4,96,0,Summer,124.0,91.0,21.73,1,2
2022-06-01,2022,6,June,Coimbatore,104.46,24.38,7.23,7.96,390.45,4.62,852.48,1767633,36,96,17,5,154,1,SW_Monsoon,96.0,124.0,13.6,1,1
2022-07-01,2022,7,July,Coimbatore,105.51,26.29,6.9,15.36,126.76,8.5,828.41,1962108,17,56,8,8,89,0,SW_Monsoon,154.0,96.0,104.46,1,1
2022-08-01,2022,8,August,Coimbatore,140.68,27.53,8.09,3.14,363.8,6.5,496.54,3093449,34,102,17,5,158,1,SW_Monsoon,89.0,154.0,105.51,1,1
2022-09-01,2022,9,September,Coimbatore,70.32,32.19,7.32,13.15,280.11,5.34,1110.66,1037691,29,94,19,9,151,1,SW_Monsoon,158.0,89.0,140.68,1,1
2022-10-01,2022,10,October,Coimbatore,112.33,27.6,6.51,9.51,215.63,8.71,810.38,4749486,20,54,13,8,95,0,NE_Monsoon,151.0,158.0,70.32,1,0
2022-11-01,2022,11,November,Coimbatore,142.65,30.11,7.27,25.59,337.62,7.27,1198.2,3683818,36,96,18,11,161,1,NE_Monsoon,95.0,151.0,112.33,1,0
2022-12-01,2022,12,December,Coimbatore,105.41,25.28,7.77,28.33,287.97,6.7,455.09,1780896,36,109,14,8,167,1,NE_Monsoon,161.0,95.0,142.65,1,0
2023-01-01,2023,1,January,Coimbatore,10.34,24.9,7.56,13.34,240.33,6.32,984.27,2480425,20,67,13,4,104,0,Winter,167.0,161.0,105.41,1,3
2023-02-01,2023,2,February,Coimbatore,23.6,36.79,8.46,10.86,228.73,7.75,899.53,1747486,26,66,9,8,109,0,Winter,104.0,167.0,10.34,1,3
2023-03-01,2023,3,March,Coimbatore,12.68,34.02,8.44,15.74,138.31,8.35,936.83,4967801,26,67,16,5,114,0,Summer,109.0,104.0,23.6,1,2
2023-04-01,2023,4,April,Coimbatore,24.36,30.25,7.74,5.88,71.19,7.16,224.98,594455,19,56,6,2,83,0,Summer,114.0,109.0,12.68,1,2
2023-05-01,2023,5,May,Coimbatore,33.99,32.16,7.77,12.25,203.69,8.35,389.44,3752772,22,59,16,8,105,0,Summer,83.0,114.0,24.36,1,2
2023-06-01,2023,6,June,Coimbatore,61.75,24.69,7.52,19.88,137.23,5.75,796.35,3830263,22,67,15,7,111,0,SW_Monsoon,105.0,83.0,33.99,1,1
2023-07-01,2023,7,July,Coimbatore,127.52,26.88,7.01,4.08,54.54,7.38,1058.6,2680019,13,31,14,7,65,0,SW_Monsoon,111.0,105.0,61.75,1,1
2023-08-01,2023,8,August,Coimbatore,137.69,24.99,7.72,19.65,282.59,6.49,1150.31,1997850,32,91,19,7,149,1,SW_Monsoon,65.0,111.0,127.52,1,1
2023-09-01,2023,9,September,Coimbatore,131.22,26.46,6.74,12.47,384.23,5.06,344.24,3160891,31,91,12,8,142,1,SW_Monsoon,149.0,65.0,137.69,1,1
2023-10-01,2023,10,October,Coimbatore,158.22,26.19,7.77,19.65,422.7,5.55,647.97,2090346,34,93,23,8,158,1,NE_Monsoon,142.0,149.0,131.22,1,0
2023-11-01,2023,11,November,Coimbatore,241.15,27.53,8.31,9.68,501.66,4.52,856.56,3659016,37,112,16,11,176,1,NE_Monsoon,158.0,142.0,158.22,1,0
2023-12-01,2023,12,December,Coimbatore,336.43,33.48,6.89,7.32,170.09,4.47,343.87,3319648,21,69,17,7,114,0,NE_Monsoon,176.0,158.0,241.15,1,0
2024-01-01,2024,1,January,Coimbatore,45.35,35.76,7.45,2.12,66.32,4.82,324.62,3355825,16,37,12,6,71,0,Winter,114.0,176.0,336.43,1,3
