date,year,month,month_name,district,rainfall_mm,temperature_celsius,pH,turbidity_NTU,coliform_count_per100ml,dissolved_oxygen_mg_L,total_dissolved_solids_mg_L,population,cholera_cases,diarrhea_cases,typhoid_cases,hepatitis_a_cases,total_disease_cases,outbreak_alert
2019-10-01,2019,10,October,Madurai,379.55,25.55,7.95,44.48,811.17,7.26,514.06,2285559,119,427,73,38,657,1
2019-11-01,2019,11,November,Madurai,178.24,25.22,7.85,19.95,814.82,7.7,391.26,2631018,107,390,58,31,586,1
2019-12-01,2019,12,December,Madurai,267.82,37.71,7.66,7.25,608.56,5.63,886.33,623950,83,309,47,30,469,1
2020-01-01,2020,1,January,Madurai,29.55,33.0,7.8,13.3,152.66,5.06,233.19,943316,54,192,25,17,288,1
2020-02-01,2020,2,February,Madurai,66.52,24.83,8.27,16.62,437.11,4.0,369.08,3062605,63,240,43,22,368,1
2020-03-01,2020,3,March,Madurai,36.63,37.68,6.45,11.14,21.01,7.7,1118.08,3680246,36,144,22,10,212,1
2020-04-01,2020,4,April,Madurai,62.78,35.27,6.24,24.11,363.34,5.52,1029.39,1664795,69,254,44,23,390,1
2020-05-01,2020,5,May,Madurai,18.42,24.96,6.81,2.11,283.59,5.42,1024.53,595028,47,177,33,14,271,1
2020-06-01,2020,6,June,Madurai,87.74,36.28,8.22,11.61,221.26,8.95,826.18,785711,44,169,31,15,259,1
2020-07-01,2020,7,July,Madurai,199.45,35.98,7.4,3.29,540.39,6.99,314.93,960796,82,290,44,21,437,1
2020-08-01,2020,8,August,Madurai,87.76,37.38,6.26,22.97,53.43,8.55,664.43,3957550,51,197,30,15,293,1
2020-09-01,2020,9,September,Madurai,155.76,32.28,7.82,8.71,333.04,4.52,584.51,770914,59,229,34,18,340,1
2020-10-01,2020,10,October,Madurai,335.9,31.09,7.66,4.86,228.95,5.81,672.49,3621881,60,237,40,15,352,1
2020-11-01,2020,11,November,Madurai,262.62,30.62,7.63,22.09,402.72,6.37,790.87,3164496,73,262,51,24,410,1
2020-12-01,2020,12,December,Madurai,177.01,28.74,8.05,26.51,461.4,5.47,1131.75,2779176,82,295,42,25,444,1
2021-01-01,2021,1,January,Madurai,34.17,31.1,8.21,12.85,351.13,8.96,331.49,692512,54,200,39,19,312,1
2021-02-01,2021,2,February,Madurai,59.98,32.51,6.91,20.77,477.53,8.11,201.57,1147341,72,266,46,20,404,1
2021-03-01,2021,3,March,Madurai,52.27,33.61,6.46,10.21,228.12,5.85,321.03,4704955,45,157,37,15,254,1
2021-04-01,2021,4,April,Madurai,34.83,37.18,7.74,17.29,180.96,6.97,210.13,1356626,59,212,30,16,317,1
2021-05-01,2021,5,May,Madurai,54.65,34.37,7.42,20.9,495.63,8.1,894.88,1010370,77,281,50,25,433,1
2021-06-01,2021,6,June,Madurai,94.76,31.82,6.99,24.05,423.99,8.23,892.49,1546161,78,295,47,24,444,1
2021-07-01,2021,7,July,Madurai,183.41,32.26,6.72,13.29,292.58,6.9,959.35,2679431,71,274,41,21,407,1
2021-08-01,2021,8,August,Madurai,164.67,33.64,7.06,6.51,279.84,4.71,1090.1,1248736,60,238,40,18,356,1
2021-09-01,2021,9,September,Madurai,125.47,24.09,7.09,26.0,387.39,4.51,1047.14,1115863,73,258,37,22,390,1
2021-10-01,2021,10,October,Madurai,393.01,27.2,8.45,24.78,122.21,4.5,408.86,876794,50,180,42,19,291,1
